"Taxon.ID","Genome.ID","Genome.Name","Antibiotic","Resistant.Phenotype","Measurement","Measurement.Sign","Measurement.Value","Measurement.Unit","Laboratory.Typing.Method","Laboratory.Typing.Method.Version","Laboratory.Typing.Platform","Vendor","Testing.Standard","Testing.Standard.Year","Computational.Method","Computational.Method.Version","Computational.Method.Performance","Evidence","Source","PubMed","Organism.Name","NCBI.Taxon.ID","Genome.Status","Strain","Serovar","Biovar","Pathovar","MLST","Other.Typing","Culture.Collection","Type.Strain","Completion.Date","Publication","BioProject.Accession","BioSample.Accession","Assembly.Accession","SRA.Accession","GenBank.Accessions","RefSeq.Accessions","Sequencing.Centers","Sequencing.Status","Sequencing.Platform","Sequencing.Depth","Assembly.Method","Chromosomes","Plasmids","Contigs","Genome.Length","GC.Content","PATRIC.CDS","RefSeq.CDS","Isolation.Site","Isolation.Source","Isolation.Comments","Collection.Date","Isolation.Country","Geographic.Location","Latitude","Longitude","Altitude","Depth","Other.Environmental","Host.Name","Host.Gender","Host.Age","Host.Health","Body.Sample.Site","Body.Sample.Subsite","Other.Clinical","AntiMicrobial.Resistance","AntiMicrobial.Resistance.Evidence","Gram.Stain","Cell.Shape","Motility","Sporulation","Temperature.Range","Optimal.Temperature","Salinity","Oxygen.Requirement","Habitat","Disease","Comments","Additional.Metadata","Coarse.Consistency","Fine.Consistency","Checkm.Completeness","Checkm.Contamination","Genome.Quality.Flags","Genome.Quality","Date.Inserted","Date.Modified"
573,573.24248,"Klebsiella pneumoniae strain 13","gentamicin","Resistant","16",">",16,"mg/L","MIC",NA,NA,NA,"CLSI",NA,NA,NA,NA,"Laboratory Method",NA,NA,NA,573,"WGS","13",NA,NA,NA,"MLST.Klebsiella_pneumoniae.147",NA,NA,NA,NA,NA,"PRJNA296771","SAMN04448231",NA,"SRR3221676",NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5647640,57.082966,5607,NA,NA,"Tracheal Aspirate",NA,"29-Apr-2013","United States","USA: Illinois",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Susceptible;Resistant","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"collected_by:IL State Health Department",99.6,97.9,NA,NA,NA,"Good","2019-03-24T03:12:41.298Z","2019-03-24T03:12:41.298Z"
573,573.13186,"Klebsiella pneumoniae KPN1194ec","gentamicin","Susceptible","<=2","<=",2,"mg/L","MIC",NA,"BD phoenix",NA,"CLSI",2017,NA,NA,NA,"Laboratory Method",NA,"28512093;28776045",NA,573,"WGS",NA,NA,NA,NA,"MLST.Klebsiella_pneumoniae.307","genotype:ST307; Capsule locus KL102",NA,NA,"2017-05-16T00:00:00Z","28512093,28776045","PRJNA376414","SAMN06438054",NA,"SRR5385651",NA,NA,"Houston Methodist Hospital",NA,NA,NA,NA,NA,NA,99,5425459,57.26,5372,NA,NA,"URINE",NA,"13-Jan-2014","USA","USA: Houston",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Susceptible;Resistant","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.6,98.3,100,NA,NA,"Good","2017-08-08T17:19:50.282Z","2017-08-08T17:19:50.282Z"
72407,72407.238,"Klebsiella pneumoniae subsp. pneumoniae 1756","gentamicin",NA,"4",NA,4,"mg/L","MIC",NA,NA,NA,"CLSI",2013,NA,NA,NA,"Laboratory Method",NA,"24639510",NA,72407,"WGS","1756",NA,NA,NA,"MLST.Klebsiella_pneumoniae.418","mlst:418",NA,NA,NA,"24639510","PRJNA237670","SAMN02631007",NA,"SRR1166954",NA,NA,NA,NA,NA,NA,NA,NA,NA,265,5576926,57.14,5718,NA,NA,NA,NA,"2007","United States","New Jersey",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,NA,"AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sra run accession:SRR1166954",99.5,96.6,100,2.2,NA,"Good","2016-07-06T01:30:18.625Z","2016-07-06T01:30:18.625Z"
573,573.14493,"Klebsiella pneumoniae KPN921ec","gentamicin","Susceptible","<=2","<=",2,"mg/L","MIC",NA,"BD phoenix",NA,"CLSI",2017,NA,NA,NA,"Laboratory Method",NA,"28512093;28776045",NA,573,"WGS",NA,NA,NA,NA,"MLST.Klebsiella_pneumoniae.26","genotype:ST26; Capsule locus KL142",NA,NA,"2017-05-16T00:00:00Z","28512093,28776045","PRJNA376414","SAMN06437813",NA,"SRR5385892",NA,NA,"Houston Methodist Hospital",NA,NA,NA,NA,NA,NA,114,5599660,57.14,5652,NA,NA,"BILE",NA,"28-Sep-2013","USA","USA: Houston",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Susceptible;Resistant","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.6,98.1,99.7,0.3,NA,"Good","2017-08-09T08:20:05.156Z","2017-08-09T08:20:05.156Z"
1438807,1438807.3,"Klebsiella pneumoniae UCI 62","gentamicin",NA,"<=1","<=",1,"mg/L","MIC","GN","Vitek 2","bioMérieux",NA,NA,NA,NA,NA,"Laboratory Method",NA,"28096418",NA,1438807,"WGS","UCI 62",NA,NA,NA,"MLST.Klebsiella_pneumoniae.34",NA,NA,NA,"2014-05-19T00:00:00Z","-","PRJNA234135","SAMN02581268","GCA_000694875.1","SRR1180860,SRR1180934,SRR1187795,SRR1187817","JMZR00000000","-","Broad Institute",NA,"Illumina","153.0x","allpaths v. R48559",NA,NA,30,5390412,57.4,5142,5057,NA,"urine",NA,NA,"United States","California, USA",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,"hospital location:non ICU","Resistant;Susceptible;Intermediate","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carbapenem;Whole Genome Sequence Analysis of Carbapenem-resistant Enterobacteriaceae","vitek instrument:Vitek 2;vitek software version:5.04;vitek bionumber:6607734653564010;vitek card #:GN",99.3,98.1,100,0.5,NA,"Good","2014-12-08T22:58:48.657Z","2015-03-16T03:17:09.594Z"
573,573.14466,"Klebsiella pneumoniae KPN886ec","gentamicin","Susceptible","4",NA,4,"mg/L","MIC",NA,"BD phoenix",NA,"CLSI",2017,NA,NA,NA,"Laboratory Method",NA,"28512093;28776045",NA,573,"WGS",NA,NA,NA,NA,"MLST.Klebsiella_pneumoniae.258","genotype:ST258; Capsule locus KL106",NA,NA,"2017-05-16T00:00:00Z","28512093,28776045","PRJNA376414","SAMN06437781",NA,"SRR5385924",NA,NA,"Houston Methodist Hospital",NA,NA,NA,NA,NA,NA,81,5370596,57.26,5371,NA,NA,"URINE",NA,"13-Sep-2013","USA","USA: Houston",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Resistant;Susceptible","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.6,98.2,100,NA,NA,"Good","2017-08-09T08:04:53.193Z","2017-08-09T08:04:53.193Z"
573,573.24346,"Klebsiella pneumoniae strain MUGSI_129","gentamicin","Susceptible","1","<",1,"mg/L","MIC",NA,NA,NA,"CLSI",NA,NA,NA,NA,"Laboratory Method",NA,NA,NA,573,"WGS","MUGSI_129",NA,NA,NA,"MLST.Klebsiella_pneumoniae.258",NA,NA,NA,NA,NA,"PRJNA288601","SAMN05170195",NA,"SRR4017850",NA,NA,NA,NA,NA,NA,NA,NA,NA,105,5353842,57.39206,5331,NA,NA,"Blood",NA,"05-Feb-2014","United States","United States",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Resistant;Susceptible","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"collected_by:CDC",NA,NA,NA,NA,NA,"Good","2019-03-24T03:50:41.899Z","2019-03-24T03:50:41.899Z"
573,573.13906,"Klebsiella pneumoniae KPN2083ec","gentamicin","Resistant",">8",">",8,"mg/L","MIC",NA,"BD phoenix",NA,"CLSI",2017,NA,NA,NA,"Laboratory Method",NA,"28512093;28776045",NA,573,"WGS",NA,NA,NA,NA,"MLST.Klebsiella_pneumoniae.307","genotype:STNF*; Capsule locus KL102",NA,NA,"2017-05-16T00:00:00Z","28512093,28776045","PRJNA376414","SAMN06438952",NA,"SRR5387217",NA,NA,"Houston Methodist Hospital",NA,NA,NA,NA,NA,NA,102,5486261,57.26,5434,NA,NA,"URINE",NA,"17-Mar-2015","USA","USA: Houston",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Susceptible;Resistant","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5,97.6,100,NA,NA,"Good","2017-08-09T02:24:12.466Z","2017-08-09T02:24:12.466Z"
573,573.13052,"Klebsiella pneumoniae KPN1027ec","gentamicin","Susceptible","<=2","<=",2,"mg/L","MIC",NA,"BD phoenix",NA,"CLSI",2017,NA,NA,NA,"Laboratory Method",NA,"28512093;28776045",NA,573,"WGS",NA,NA,NA,NA,"MLST.Klebsiella_pneumoniae.258","genotype:ST258; Capsule locus KL106",NA,NA,"2017-05-16T00:00:00Z","28512093,28776045","PRJNA376414","SAMN06437905",NA,"SRR5385800",NA,NA,"Houston Methodist Hospital",NA,NA,NA,NA,NA,NA,320,5491719,57.29,5625,NA,NA,"URINE",NA,"3-Oct-2013","USA","USA: Houston",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Resistant;Susceptible","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.6,96.7,100,2.1,NA,"Good","2017-08-08T16:07:36.406Z","2017-08-08T16:07:36.406Z"
573,573.13458,"Klebsiella pneumoniae KPN1526ec","gentamicin","Resistant",">8",">",8,"mg/L","MIC",NA,"BD phoenix",NA,"CLSI",2017,NA,NA,NA,"Laboratory Method",NA,"28512093;28776045",NA,573,"WGS",NA,NA,NA,NA,"MLST.Klebsiella_pneumoniae.273","genotype:ST273; Capsule locus KL74",NA,NA,"2017-05-16T00:00:00Z","28512093,28776045","PRJNA376414","SAMN06438500",NA,"SRR5386648",NA,NA,"Houston Methodist Hospital",NA,NA,NA,NA,NA,NA,130,5605312,57.03,5632,NA,NA,"RESPIRATORY",NA,"11-Aug-2014","USA","USA: Houston",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Susceptible;Resistant","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.6,98.2,100,1,NA,"Good","2017-08-08T22:10:25.038Z","2017-08-08T22:10:25.038Z"
1328423,1328423.3,"Klebsiella pneumoniae BIDMC 34","gentamicin",NA,">8",">",8,"mg/L","MIC",NA,NA,NA,NA,NA,NA,NA,NA,"Laboratory Method",NA,"28096418","Klebsiella pneumoniae BIDMC 34",1328423,"WGS","BIDMC 34",NA,NA,NA,"MLST.Klebsiella_pneumoniae.258",NA,NA,NA,"2014-02-06T00:00:00Z",NA,"PRJNA202046","SAMN02138665","GCA_000567245.1","SRR850931,SRR850932,SRR850933,SRR850934","JCMX00000000","-","Broad Institute","WGS","Illumina","133.0x","allpaths v. R47768",NA,NA,25,5710970,57.1,5558,5404,NA,"Urine",NA,"9/1/12","United States","Boston, MA, USA",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,"collection service:MED","Resistant;Intermediate","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carbapenem Resistance;Whole Genome Sequence Analysis of Carbapenem-resistant Enterobacteriaceae","vitek bionumber:6607734653164010;phenotype:MHT+",99.5,97.9,100,NA,NA,"Good","2014-12-08T22:11:49.053Z","2015-03-16T03:17:09.594Z"
573,573.2431,"Klebsiella pneumoniae strain 5","gentamicin","Resistant","16",">",16,"mg/L","MIC",NA,NA,NA,"CLSI",NA,NA,NA,NA,"Laboratory Method",NA,NA,NA,573,"WGS","5",NA,NA,NA,"MLST.Klebsiella_pneumoniae.34",NA,NA,NA,NA,NA,"PRJNA296771","SAMN04448223",NA,"SRR3219827",NA,NA,NA,NA,NA,NA,NA,NA,NA,256,5463132,57.369144,5498,NA,NA,"Sputum",NA,"03-May-2011","United States","USA: California",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Susceptible;Resistant","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"collected_by:CA State Health Department",99.6,97.6,NA,NA,NA,"Good","2019-03-24T03:41:20.284Z","2019-03-24T03:41:20.284Z"
573,573.1394,"Klebsiella pneumoniae KPN2129ec","gentamicin","Susceptible","<=2","<=",2,"mg/L","MIC",NA,"BD phoenix",NA,"CLSI",2017,NA,NA,NA,"Laboratory Method",NA,"28512093;28776045",NA,573,"WGS",NA,NA,NA,NA,"MLST.Klebsiella_pneumoniae.258","genotype:ST258; Capsule locus KL106",NA,NA,"2017-05-16T00:00:00Z","28512093,28776045","PRJNA376414","SAMN06438992",NA,"SRR5387177",NA,NA,"Houston Methodist Hospital",NA,NA,NA,NA,NA,NA,86,5417164,57.31,5423,NA,NA,"BONE",NA,"24-Mar-2015","USA","USA: Houston",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Resistant;Susceptible","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.6,97.9,100,NA,NA,"Good","2017-08-09T02:42:42.185Z","2017-08-09T02:42:42.185Z"
573,573.14255,"Klebsiella pneumoniae KPN581ec","gentamicin","Susceptible","4",NA,4,"mg/L","MIC",NA,"BD phoenix",NA,"CLSI",2017,NA,NA,NA,"Laboratory Method",NA,"28512093;28776045",NA,573,"WGS",NA,NA,NA,NA,"MLST.Klebsiella_pneumoniae.258","genotype:ST258; Capsule locus KL106",NA,NA,"2017-05-16T00:00:00Z","28512093,28776045","PRJNA376414","SAMN06437537",NA,"SRR5385446",NA,NA,"Houston Methodist Hospital",NA,NA,NA,NA,NA,NA,122,5447288,57.22,5489,NA,NA,"RESPIRATORY",NA,"26-Dec-2012","USA","USA: Houston",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Resistant;Susceptible","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.3,97.7,100,NA,NA,"Good","2017-08-09T05:36:49.911Z","2017-08-09T05:36:49.911Z"
573,573.13921,"Klebsiella pneumoniae KPN2100ec","gentamicin","Susceptible","<=2","<=",2,"mg/L","MIC",NA,"BD phoenix",NA,"CLSI",2017,NA,NA,NA,"Laboratory Method",NA,"28512093;28776045",NA,573,"WGS",NA,NA,NA,NA,"MLST.Klebsiella_pneumoniae.258","genotype:ST258; Capsule locus KL107",NA,NA,"2017-05-16T00:00:00Z","28512093,28776045","PRJNA376414","SAMN06438968",NA,"SRR5387201",NA,NA,"Houston Methodist Hospital",NA,NA,NA,NA,NA,NA,130,5743262,57.07,5777,NA,NA,"RESPIRATORY",NA,"24-Mar-2015","USA","USA: Houston",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Resistant;Susceptible","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.6,97.6,100,0.3,NA,"Good","2017-08-09T02:33:22.951Z","2017-08-09T02:33:22.951Z"
573,573.13811,"Klebsiella pneumoniae KPN1975ec","gentamicin","Resistant",">8",">",8,"mg/L","MIC",NA,"BD phoenix",NA,"CLSI",2017,NA,NA,NA,"Laboratory Method",NA,"28512093;28776045",NA,573,"WGS",NA,NA,NA,NA,"MLST.Klebsiella_pneumoniae.307","genotype:ST307; Capsule locus KL102",NA,NA,"2017-05-16T00:00:00Z","28512093,28776045","PRJNA376414","SAMN06438855",NA,"SRR5387314",NA,NA,"Houston Methodist Hospital",NA,NA,NA,NA,NA,NA,129,5580908,57.16,5575,NA,NA,"URINE",NA,"16-Feb-2015","USA","USA: Houston",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Susceptible;Resistant","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5,97.9,100,NA,NA,"Good","2017-08-09T01:25:21.093Z","2017-08-09T01:25:21.093Z"
573,573.24291,"Klebsiella pneumoniae strain 361","gentamicin","Resistant","16",">=",16,"mg/L","MIC",NA,"Vitek","BiomŽrieux","CLSI",NA,NA,NA,NA,"Laboratory Method",NA,NA,NA,573,"WGS","361",NA,NA,NA,"MLST.Klebsiella_pneumoniae.307",NA,NA,NA,NA,NA,"PRJNA278886","SAMN06754730",NA,"SRR5445924",NA,NA,NA,NA,NA,NA,NA,NA,NA,129,5622249,57.198723,5577,NA,NA,"bronchial washings",NA,"2016","United States","USA:Boston",NA,NA,NA,NA,NA,"Human, Homo sapiens","male","79",NA,NA,NA,"host_subject_id:Kpneumoniae-41","Susceptible;Resistant","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"collected_by:Brigham and Women's Hospital",99.6,97.8,NA,NA,NA,"Good","2019-03-24T03:27:50.265Z","2019-03-24T03:27:50.265Z"
